Timestamp,Dev,Status,Ax,Ay,Az,Filt,RMS,Cross,Type,Med
54:51.0,MG-001,1,0.02,0.206,1.004,0.41,1.025,0.004,Tremor,At Risk
54:51.0,MG-001,1,-0.003,-0.19,1.019,0.404,1.037,0.001,Tremor,At Risk
54:51.0,MG-001,1,0.022,0.215,0.856,0.364,0.883,0.005,Tremor,At Risk
54:51.0,MG-001,1,0.011,-0.209,1.024,0.415,1.045,-0.002,Tremor,At Risk
54:51.0,MG-001,1,-0.007,0.195,1.059,0.42,1.077,-0.001,Tremor,At Risk
54:51.0,MG-001,1,0.017,-0.228,0.923,0.389,0.951,-0.004,Tremor,At Risk
54:51.1,MG-001,1,0.01,0.204,0.854,0.356,0.878,0.002,Tremor,At Risk
54:51.1,MG-001,1,-0.02,-0.182,0.845,0.349,0.865,0.004,Tremor,At Risk
54:51.1,MG-001,1,0.017,0.148,1.118,0.428,1.128,0.003,Tremor,At Risk
54:51.1,MG-001,1,0.006,-0.175,0.932,0.371,0.948,-0.001,Tremor,At Risk
54:51.1,MG-001,1,0.052,0.211,0.957,0.407,0.981,0.011,Tremor,At Risk
54:51.1,MG-001,1,0,-0.217,1.123,0.447,1.144,0,Tremor,At Risk
54:51.1,MG-001,1,0.013,0.209,0.968,0.397,0.99,0.003,Tremor,At Risk
54:51.1,MG-001,1,-0.052,-0.2,1.043,0.432,1.063,0.01,Tremor,At Risk
54:51.1,MG-001,1,0.012,0.194,1.163,0.456,1.179,0.002,Tremor,At Risk
54:51.1,MG-001,1,0.001,-0.181,0.918,0.367,0.936,0,Tremor,At Risk
54:51.2,MG-001,1,-0.001,0.224,0.855,0.36,0.884,0,Tremor,At Risk
54:51.2,MG-001,1,-0.037,-0.213,0.971,0.407,0.995,0.008,Tremor,At Risk
54:51.2,MG-001,1,0.01,0.177,1.125,0.437,1.139,0.002,Tremor,At Risk
54:51.2,MG-001,1,-0.019,-0.245,0.946,0.403,0.977,0.005,Tremor,At Risk
54:51.2,MG-001,1,0.047,0.192,1.165,0.468,1.182,0.009,Tremor,At Risk
54:51.2,MG-001,1,-0.019,-0.147,0.806,0.324,0.819,0.003,Tremor,At Risk
54:51.2,MG-001,1,0.05,0.184,1.216,0.483,1.231,0.009,Tremor,At Risk
54:51.2,MG-001,1,-0.083,-0.21,1.098,0.463,1.12,0.017,Tremor,At Risk
54:51.2,MG-001,1,0.008,0.22,1.077,0.435,1.099,0.002,Tremor,At Risk
54:51.2,MG-001,1,-0.044,-0.187,1.123,0.451,1.139,0.008,Tremor,At Risk
54:51.3,MG-001,1,0.014,0.192,1.117,0.441,1.134,0.003,Tremor,At Risk
